"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","Quantity","Method"
"0x070bf971e76d493cd5db9a9c74c123336e1b30eb56ed87b7b9216771a9c75737","19266895","1725323137","2024-09-03 00:25:37","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xe6d7194f927a01c1682d5f10aef0e7162c0c5834","3,355.11","Swap UDT For UP"
"0xf4c02856e535e1ceff04f6f4901edb9146b24d980f6903e3c2c90c8752e235b6","19541633","1725872613","2024-09-09 09:03:33","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x2fdd1fbb9793f4ac4e51ceb7a75660371796c19a","6,543","Swap UDT For UP"
"0x9483ddbbc89dc486b37e5758f78b1e2c839c908e374d1efe81c89eae6ab46449","19552382","1725894111","2024-09-09 15:01:51","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x895d036ed1a3be41c30cef01a135995fa12fb207","3,209.403608886211322","Swap UDT For UP"
"0x9d4e7311a6a46f42d5c06bd5ba12609c1eb01893f310c327d6c8e0e1f18ea008","19555186","1725899719","2024-09-09 16:35:19","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x5990aff0e95b2c75b3727ea00b580fc8e4df27e9","105,450","Swap UDT For UP"
"0x729afbf03e512590f67b9a3e28569bd802129563ad6e12a6cc6971a0cd7e0a83","19594679","1725978705","2024-09-10 14:31:45","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x9d5611bf0dadddb4441a709141d9229d7f6b3e47","1,000","Swap UDT For UP"
"0xf547c01c3b22f03d10e63a3555f1e489dcbce8af2a350318fc57730a5bb81953","19594864","1725979075","2024-09-10 14:37:55","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xc2fb4b3ea53e10c88d193e709a81c4dc7aec902e","10,000","Swap UDT For UP"
"0x33427d0262dc61bea8ee7d41de24d3af51e7a31a54892ccb2560f36c2ef28c95","19889863","1726569073","2024-09-17 10:31:13","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x557ded245bffa8f21cc2217776b210a882c1d2d8","15,000","Swap UDT For UP"
"0x4df10844f491632f9e84a5504972e343f98f6195180d9a8dbe9403a335d4e15f","19954086","1726697519","2024-09-18 22:11:59","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xed59e0fb105f003e508a1f59fe9f4ae5a755bded","99,999.9","Swap UDT For UP"
"0x07b1cd6d04696c5dcd82f6fc61c845218501a94d5ada217a7199b5c58f699c56","20182872","1727155091","2024-09-24 05:18:11","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xc8dfe3d00de485bce147845a1df294292073f79a","73,879.549662726245846","Swap UDT For UP"
"0xbfd2b9a8def101224e192949e7ca9416675f86193de1dd2e88f7ed4e31b63963","20201270","1727191887","2024-09-24 15:31:27","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xde22de740609532fc0f48287b7f258776be814fd","334,675.72","Swap UDT For UP"
